"9433 ìåèÿ1ïî ÇjÇcÇcÇh(äî)ÅièÓïÒÅEí êMÅj","","","","",""
"date","start_value","high_value","low_value","end_value","yield","adjustment_value"
"2017-01-04","2960","3014","2959.5","2998","7924100","2998"
"2017-01-05","3005","3048","3000","3033","5770000","3033"
"2017-01-06","3007","3064","2992","3060","5390400","3060"
"2017-01-10","3074","3087","3049","3059","5876600","3059"
"2017-01-11","3050","3068","3026","3054","4321000","3054"
"2017-01-12","3055","3055","3014","3032","4227100","3032"
"2017-01-13","3062","3090","3041","3090","7203700","3090"
"2017-01-16","3084","3093","3062","3070","3528400","3070"
"2017-01-17","3066","3069","3030","3042","4510300","3042"
"2017-01-18","3042","3052","3022","3042","4993200","3042"
"2017-01-19","3065","3095","3045","3066","5069900","3066"
"2017-01-20","3080","3095","3053","3079","6018100","3079"
"2017-01-23","3034","3044","2997.5","3000","7565500","3000"
"2017-01-24","2988","3009","2988","2993.5","5307800","2993.5"
"2017-01-25","3020","3027","2982.5","2991.5","5215200","2991.5"
"2017-01-26","3001","3014","2992","3002","7818800","3002"
"2017-01-27","3007","3110","3004","3094","9136700","3094"
"2017-01-30","3072","3082","3046","3065","3704200","3065"
"2017-01-31","3050","3067","3030","3030","4946400","3030"
"2017-02-01","3008","3036","2998","3036","3617000","3036"
"2017-02-02","3002","3010","2965.5","2977.5","6234700","2977.5"
"2017-02-03","2998.5","2998.5","2910.5","2914","9621500","2914"
"2017-02-06","2928.5","2959.5","2914","2952.5","8129500","2952.5"
"2017-02-07","2957","2966.5","2939","2947","4552400","2947"
"2017-02-08","2954","2955.5","2908.5","2932.5","4776700","2932.5"
"2017-02-09","2950","2978.5","2941.5","2952","5425400","2952"
"2017-02-10","3000","3000","2965","2989.5","6973500","2989.5"
"2017-02-13","3000","3030","2975.5","3012","5314500","3012"
"2017-02-14","3012","3018","2955","2961","7413300","2961"
"2017-02-15","2983.5","2990","2960","2967","3656500","2967"
"2017-02-16","2967","2973","2932.5","2943.5","6976000","2943.5"
"2017-02-17","2950","2957","2915","2930.5","3970900","2930.5"
"2017-02-20","2934.5","2944","2922","2935.5","3134900","2935.5"
"2017-02-21","2944.5","2964.5","2936","2956","3847300","2956"
"2017-02-22","2950","2957.5","2940.5","2950","3883300","2950"
"2017-02-23","2980","2980","2952","2972","3874100","2972"
"2017-02-24","2965","2980","2958.5","2974.5","4035700","2974.5"
"2017-02-27","2966.5","2979.5","2944.5","2969","4786500","2969"
"2017-02-28","2970","2989","2939","2939","6478700","2939"
"2017-03-01","2966","3003","2955","2976.5","5557300","2976.5"
"2017-03-02","3007","3008","2970.5","2971","6268900","2971"
"2017-03-03","2998","2999","2965","2972","5236300","2972"
"2017-03-06","2971.5","2993.5","2969","2982.5","3370300","2982.5"
"2017-03-07","2965.5","2989.5","2963","2987","5977800","2987"
"2017-03-08","2987","2995","2962","2975","4620700","2975"
"2017-03-09","2989","2989","2954","2961.5","3852300","2961.5"
"2017-03-10","2989.5","3006","2968","2985.5","10563700","2985.5"
"2017-03-13","2988","3060","2981","3029","6018900","3029"
"2017-03-14","3009","3020","2990.5","2991","4147700","2991"
"2017-03-15","2991","3020","2988","3006","4117700","3006"
"2017-03-16","3009","3038","3005","3024","4712700","3024"
"2017-03-17","3020","3051","3009","3045","6515100","3045"
"2017-03-21","3047","3051","3017","3040","3998800","3040"
"2017-03-22","3039","3042","2997","3007","5770200","3007"
"2017-03-23","2981","2984","2943.5","2972","6619000","2972"
"2017-03-24","2969","3009","2968","3002","4842200","3002"
"2017-03-27","2984.5","2990","2965.5","2972","4711300","2972"
"2017-03-28","2986.5","3019","2983.5","3016","6934800","3016"
"2017-03-29","3021","3024","2986","3001","5104100","3001"
"2017-03-30","2996","2996","2967","2976","4122600","2976"
"2017-03-31","2980","2981","2922","2922","6574000","2922"
"2017-04-03","2901","2907.5","2871","2878.5","11049600","2878.5"
"2017-04-04","2910","2934","2897","2911.5","7923700","2911.5"
"2017-04-05","2933.5","2940","2913.5","2926","4400500","2926"
"2017-04-06","2920","2927.5","2878.5","2893.5","6120800","2893.5"
"2017-04-07","2913","2923","2875.5","2898","7026400","2898"
"2017-04-10","2906.5","2924.5","2880","2889.5","3630700","2889.5"
"2017-04-11","2880","2923.5","2878","2907.5","5281100","2907.5"
"2017-04-12","2906.5","2907","2874.5","2901","5663200","2901"
"2017-04-13","2900","2904","2862","2873","4789600","2873"
"2017-04-14","2922","2922","2846.5","2859","7207600","2859"
"2017-04-17","2851","2870","2840.5","2869","3211200","2869"
"2017-04-18","2878","2881","2860","2877","3136200","2877"
"2017-04-19","2865","2900.5","2855.5","2896.5","5356100","2896.5"
"2017-04-20","2896.5","2896.5","2861","2861","4701700","2861"
"2017-04-21","2861.5","2898.5","2861","2887","5818700","2887"
"2017-04-24","2932","2949.5","2922.5","2939","5061700","2939"
"2017-04-25","2889","2899.5","2871","2893.5","6769400","2893.5"
"2017-04-26","2880","2891","2870.5","2887.5","5976800","2887.5"
"2017-04-27","2886","2888","2873.5","2878","4778000","2878"
"2017-04-28","2911","2970","2902","2955.5","7187800","2955.5"
"2017-05-01","2979","2979","2945.5","2969.5","4152700","2969.5"
"2017-05-02","2971","2976","2952","2956.5","3905600","2956.5"
"2017-05-08","3000","3035","2992","3015","9732400","3015"
"2017-05-09","3012","3029","3005","3012","5052000","3012"
"2017-05-10","3035","3056","3031","3036","5024300","3036"
"2017-05-11","3056","3070","3048","3061","5208100","3061"
"2017-05-12","3131","3131","3067","3083","10641200","3083"
"2017-05-15","3075","3099","3073","3094","3589300","3094"
"2017-05-16","3105","3112","3083","3095","4179600","3095"
"2017-05-17","3070","3086","3063","3077","4345100","3077"
"2017-05-18","3063","3071","3020","3051","5855300","3051"
"2017-05-19","3068","3077","3046","3061","4788900","3061"
"2017-05-22","3084","3096","3065","3067","3674100","3067"
"2017-05-23","3055","3081","3052","3066","3714400","3066"
"2017-05-24","3081","3085","3055","3062","4443000","3062"
"2017-05-25","3062","3100","3059","3088","5138200","3088"
"2017-05-26","3088","3095","3059","3061","3509800","3061"
"2017-05-29","3061","3077","3057","3060","2522000","3060"
"2017-05-30","3059","3069","3046","3062","3118200","3062"
"2017-05-31","3062","3074","3050","3066","5957500","3066"
"2017-06-01","3072","3087","3065","3078","5064100","3078"
"2017-06-02","3080","3110","3061","3093","5707400","3093"
"2017-06-05","3090","3098","3069","3073","5045500","3073"
"2017-06-06","3073","3080","3033","3042","6032100","3042"
"2017-06-07","3045","3055","3012","3032","4898300","3032"
"2017-06-08","3026","3027","2989.5","3003","6236700","3003"
"2017-06-09","3017","3018","2988.5","3006","9868700","3006"
"2017-06-12","3001","3012","2979","3007","5110900","3007"
"2017-06-13","3007","3032","3003","3024","5070400","3024"
"2017-06-14","3005","3022","2992","2999","5505100","2999"
"2017-06-15","2990.5","3019","2985.5","3005","5007300","3005"
"2017-06-16","3027","3059","3023","3054","7875800","3054"
"2017-06-19","3060","3089","3060","3078","3985200","3078"
"2017-06-20","3103","3123","3091","3091","5311300","3091"
"2017-06-21","3072","3087","3061","3064","5327500","3064"
"2017-06-22","3049","3050","3029","3030","6109600","3030"
"2017-06-23","3012","3028","3000","3025","5513000","3025"
"2017-06-26","3020","3022","2997.5","2999.5","4415100","2999.5"
"2017-06-27","3000","3010","2978.5","2992.5","5853300","2992.5"
"2017-06-28","2984","2997","2981","2990","4608000","2990"
"2017-06-29","3002","3006","2984.5","2989","5567200","2989"
"2017-06-30","2973","2975.5","2957.5","2975","6704200","2975"
"2017-07-03","2979","2988","2965","2981","4269400","2981"
"2017-07-04","2978","2993","2976.5","2981.5","4011400","2981.5"
"2017-07-05","2988","3010","2970.5","3008","5224500","3008"
"2017-07-06","2993","3010","2983.5","3005","5021500","3005"
"2017-07-07","2995","3001","2982.5","2989.5","5264800","2989.5"
"2017-07-10","2921","2924.5","2886","2909","11229000","2909"
"2017-07-11","2904.5","2936.5","2894","2929","7619800","2929"
"2017-07-12","2916.5","2933","2913.5","2917","4884900","2917"
"2017-07-13","2932","2941.5","2919","2920.5","4325700","2920.5"
"2017-07-14","2938","2938.5","2919","2920","5211700","2920"
"2017-07-18","2918","2928.5","2897","2912","6341600","2912"
"2017-07-19","2904","2933.5","2903","2920","4841400","2920"
"2017-07-20","2919.5","2949","2917","2947","6056900","2947"
"2017-07-21","2919.5","2931.5","2908","2928.5","5525700","2928.5"
"2017-07-24","2910","2920","2901.5","2902.5","4360600","2902.5"
"2017-07-25","2880","2887","2863.5","2866.5","6557100","2866.5"
"2017-07-26","2877.5","2883.5","2866","2881.5","4630800","2881.5"
"2017-07-27","2885.5","2912","2885.5","2896.5","4478000","2896.5"
"2017-07-28","2906.5","2928","2901","2922","4906900","2922"
"2017-07-31","2922","2943","2914.5","2920","5587000","2920"
"2017-08-01","2921.5","2949.5","2919","2944.5","4033800","2944.5"
"2017-08-02","3032","3041","2989.5","2994","7040200","2994"
"2017-08-03","2987","3006","2982","3005","5469400","3005"
"2017-08-04","3001","3021","2997.5","2998","4704300","2998"
"2017-08-07","3028","3028","3012","3015","3805600","3015"
"2017-08-08","3002","3010","2995","3010","4233800","3010"
"2017-08-09","2997.5","2999","2936","2946","8053600","2946"
"2017-08-10","2942.5","2944","2921.5","2931.5","7196200","2931.5"
"2017-08-14","2905","2917","2901.5","2910","7156400","2910"
"2017-08-15","2918.5","2969.5","2915","2956","5313700","2956"
"2017-08-16","2944.5","2959.5","2937","2951.5","3129600","2951.5"
"2017-08-17","2941","2954.5","2937","2950","3062300","2950"
"2017-08-18","2930","2951.5","2929","2950.5","5130600","2950.5"
"2017-08-21","2965.5","2969.5","2943","2948.5","3319900","2948.5"
"2017-08-22","2956","2969.5","2916","2919","5254800","2919"
"2017-08-23","2943","2963.5","2940","2950.5","4639900","2950.5"
"2017-08-24","2953","2956","2942.5","2944.5","4319200","2944.5"
"2017-08-25","2950","2962","2940","2957.5","4006100","2957.5"
"2017-08-28","2960.5","2969.5","2953.5","2969.5","3924200","2969.5"
"2017-08-29","2955","2962","2947.5","2953","4377000","2953"
"2017-08-30","2975.5","2976.5","2954","2973.5","7488700","2973.5"
"2017-08-31","2973.5","2985","2962.5","2967","6051300","2967"
"2017-09-01","2974.5","2974.5","2951","2956","4134600","2956"
"2017-09-04","2947","2949","2922","2926.5","5217700","2926.5"
"2017-09-05","2931","2932","2916","2924","4127200","2924"
"2017-09-06","2936","2960","2924.5","2953.5","7189400","2953.5"
"2017-09-07","2953","2956","2924","2936","4759300","2936"
"2017-09-08","2925","2945.5","2925","2938","9520500","2938"
"2017-09-11","2957.5","2973","2943","2963","4257800","2963"
"2017-09-12","2974","2984.5","2956.5","2960.5","4265700","2960.5"
"2017-09-13","2967","2967","2947.5","2956.5","3604800","2956.5"
"2017-09-14","2946.5","2954.5","2929","2936.5","5648100","2936.5"
"2017-09-15","2931","2940.5","2921","2936","7574100","2936"
"2017-09-19","2949.5","2988.5","2937","2981","7767300","2981"
"2017-09-20","2983.5","2988.5","2964","2969","6503900","2969"
"2017-09-21","2988","2992","2970","2970.5","4671900","2970.5"
"2017-09-22","2987","2992.5","2975","2980","4934900","2980"
"2017-09-25","3000","3008","2990","3005","3484600","3005"
"2017-09-26","3006","3026","3003","3021","5163400","3021"
"2017-09-27","2987.5","2988","2961","2967","3912200","2967"
"2017-09-28","2992.5","2993","2950","2956","6093300","2956"
"2017-09-29","2952.5","2978","2951","2967","6542400","2967"
"2017-10-02","2966.5","2974","2955.5","2964.5","3732300","2964.5"
"2017-10-03","2970.5","2982.5","2965.5","2972.5","4852900","2972.5"
"2017-10-04","2974","2989","2965.5","2987","4776700","2987"
"2017-10-05","3000","3024","2990.5","3011","4926000","3011"
"2017-10-06","3021","3021","2985","2988","5954000","2988"
"2017-10-10","2991.5","2994","2970.5","2978","5775200","2978"
"2017-10-11","2961.5","2975","2949","2952.5","7537800","2952.5"
"2017-10-12","2959","2976","2950","2960.5","8139800","2960.5"
"2017-10-13","2949.5","3003","2949","2986.5","9314600","2986.5"
"2017-10-16","2986.5","3045","2985","3029","6735700","3029"
"2017-10-17","3038","3054","3030","3044","3906100","3044"
"2017-10-18","3050","3064","3048","3058","3995100","3058"
"2017-10-19","3065","3068","3046","3053","2568900","3053"
"2017-10-20","3060","3060","3040","3047","3641500","3047"
"2017-10-23","3088","3089","3055","3060","5154600","3060"
"2017-10-24","3075","3092","3055","3084","4772300","3084"
"2017-10-25","3069","3070","3018","3028","6474000","3028"
"2017-10-26","3027","3034","3012","3020","3394300","3020"
"2017-10-27","3045","3047","3017","3023","5897800","3023"
"2017-10-30","3021","3042","3017","3030","11462700","3030"
"2017-10-31","3037","3039","3015","3024","5386000","3024"
"2017-11-01","3035","3054","3022","3047","4897000","3047"
"2017-11-02","3075","3086","3059","3083","6108800","3083"
"2017-11-06","3100","3122","3086","3107","6343700","3107"
"2017-11-07","3111","3148","3088","3142","6512800","3142"
"2017-11-08","3150","3159","3124","3140","4415500","3140"
"2017-11-09","3166","3191","3117","3146","9112900","3146"
"2017-11-10","3083","3146","3069","3090","8407600","3090"
"2017-11-13","3064","3077","3027","3027","5247000","3027"
"2017-11-15","3016","3020","2961","2962","8728100","2962"
"2017-11-16","2973.5","3012","2970.5","2998","6398100","2998"
"2017-11-17","3023","3024","2975.5","2984","6928100","2984"
"2017-11-20","2989.5","2993.5","2967","2976.5","5025500","2976.5"
"2017-11-21","2991.5","3024","2990.5","2996.5","5588300","2996.5"
"2017-11-22","3016","3039","3010","3010","5156200","3010"
"2017-11-24","3099","3104","3055","3088","7665000","3088"
"2017-11-27","3093","3099","3055","3068","5542700","3068"
"2017-11-28","3089","3100","3072","3085","5367600","3085"
"2017-11-29","3105","3122","3086","3104","6042400","3104"
"2017-11-30","3135","3216","3100","3215","13010300","3215"
"2017-12-01","3255","3260","3197","3215","8310000","3215"
"2017-12-04","3215","3217","3173","3176","4933800","3176"
"2017-12-05","3178","3204","3155","3185","4136900","3185"
"2017-12-06","3171","3195","3142","3149","7387100","3149"
"2017-12-07","3167","3206","3162","3200","6414800","3200"
"2017-12-08","3216","3225","3166","3175","11977700","3175"
"2017-12-11","3217","3245","3207","3235","4648800","3235"
"2017-12-12","3251","3253","3183","3192","6092000","3192"
"2017-12-13","3224","3234","3212","3221","4875200","3221"
"2017-12-14","3191","3229","3107","3130","9233900","3130"
"2017-12-15","2980","2992","2922","2922","21230900","2922"
"2017-12-18","2920","2933","2890.5","2890.5","17332800","2890.5"
"2017-12-19","2880","2899","2851","2857.5","12559000","2857.5"
