"9432 東証1部 日本電信電話(株)（情報・通信）","","","","",""
"date","start_value","high_value","low_value","end_value","yield","adjumstment_value"
"2016-01-04","4773","4816","4688","4714","3580500","4714"
"2016-01-05","4690","4848","4688","4815","4595100","4815"
"2016-01-06","4850","4920","4823","4879","5712500","4879"
"2016-01-07","4885","4906","4774","4797","6883100","4797"
"2016-01-08","4733","4829","4685","4778","5542800","4778"
"2016-01-12","4736","4759","4682","4689","5336000","4689"
"2016-01-13","4749","4782","4636","4752","6478500","4752"
"2016-01-14","4695","4743","4646","4718","6858300","4718"
"2016-01-15","4778","4875","4746","4791","6082800","4791"
"2016-01-18","4695","4765","4651","4744","3652000","4744"
"2016-01-19","4704","4752","4669","4716","3596300","4716"
"2016-01-20","4693","4719","4586","4602","4685600","4602"
"2016-01-21","4592","4641","4427","4427","5626600","4427"
"2016-01-22","4495","4629","4422","4612","6911400","4612"
"2016-01-25","4710","4763","4688","4723","3993100","4723"
"2016-01-26","4674","4687","4584","4629","3674400","4629"
"2016-01-27","4730","4842","4710","4813","5053000","4813"
"2016-01-28","4790","4940","4785","4873","5181700","4873"
"2016-01-29","4910","5049","4858","5028","7689600","5028"
"2016-02-01","5203","5419","5171","5378","7807800","5378"
"2016-02-02","5300","5400","5252","5311","5468700","5311"
"2016-02-03","5310","5375","5245","5346","6513700","5346"
"2016-02-04","5247","5299","5194","5198","4192700","5198"
"2016-02-05","5104","5183","5060","5176","5467900","5176"
"2016-02-08","5276","5329","5100","5308","5196900","5308"
"2016-02-09","5068","5145","5037","5101","5481400","5101"
"2016-02-10","4970","5000","4789","4888","8576000","4888"
"2016-02-12","4791","4816","4580","4606","8251000","4606"
"2016-02-15","4830","4978","4758","4910","5813100","4910"
"2016-02-16","4815","4931","4802","4831","4637000","4831"
"2016-02-17","4890","5008","4808","4871","4349000","4871"
"2016-02-18","5000","5007","4793","4844","4994700","4844"
"2016-02-19","4876","4886","4761","4795","4107000","4795"
"2016-02-22","4790","4857","4763","4812","3426200","4812"
"2016-02-23","4801","4830","4638","4640","4998000","4640"
"2016-02-24","4619","4673","4526","4576","5870500","4576"
"2016-02-25","4661","4714","4602","4678","4167600","4678"
"2016-02-26","4781","4884","4716","4781","4442700","4781"
"2016-02-29","4886","4898","4803","4806","8819500","4806"
"2016-03-01","4790","4841","4780","4810","3142800","4810"
"2016-03-02","4938","4948","4874","4882","3669700","4882"
"2016-03-03","4885","4938","4811","4888","4135100","4888"
"2016-03-04","4847","4851","4690","4755","5413300","4755"
"2016-03-07","4708","4770","4668","4714","3101400","4714"
"2016-03-08","4665","4720","4589","4672","4546200","4672"
"2016-03-09","4848","4917","4802","4906","8002300","4906"
"2016-03-10","4894","4931","4809","4863","3897500","4863"
"2016-03-11","4824","4887","4814","4851","5911400","4851"
"2016-03-14","4889","4890","4818","4844","3870100","4844"
"2016-03-15","4834","4868","4822","4851","3338900","4851"
"2016-03-16","4900","4948","4867","4906","3819900","4906"
"2016-03-17","4947","5009","4850","4900","3575100","4900"
"2016-03-18","4880","4925","4815","4815","4991600","4815"
"2016-03-22","4885","5025","4867","4972","4389900","4972"
"2016-03-23","4961","4996","4914","4986","3159800","4986"
"2016-03-24","4940","5054","4931","5019","3465300","5019"
"2016-03-25","4996","4999","4916","4942","2925000","4942"
"2016-03-28","4969","5075","4965","5075","2935900","5075"
"2016-03-29","5017","5059","4999","5018","2397500","5018"
"2016-03-30","5000","5060","4954","4961","2944000","4961"
"2016-03-31","4920","4940","4839","4848","4646000","4848"
"2016-04-01","4800","4830","4705","4721","5433400","4721"
"2016-04-04","4651","4792","4591","4748","3964700","4748"
"2016-04-05","4755","4760","4616","4651","3912100","4651"
"2016-04-06","4655","4660","4565","4652","3566500","4652"
"2016-04-07","4676","4764","4661","4739","3302100","4739"
"2016-04-08","4669","4772","4611","4724","4500200","4724"
"2016-04-11","4704","4755","4674","4752","2572100","4752"
"2016-04-12","4738","4747","4690","4705","2634100","4705"
"2016-04-13","4767","4860","4633","4837","4811800","4837"
"2016-04-14","4945","4989","4876","4989","5539800","4989"
"2016-04-15","4919","5010","4884","5007","3295600","5007"
"2016-04-18","4879","4989","4877","4939","3056300","4939"
"2016-04-19","5011","5055","4951","4978","2542500","4978"
"2016-04-20","4986","5002","4922","4960","3529200","4960"
"2016-04-21","4985","5001","4932","4998","4530500","4998"
"2016-04-22","5002","5068","4977","5035","4950600","5035"
"2016-04-25","4974","4980","4879","4879","3530900","4879"
"2016-04-26","4854","4964","4844","4941","3320800","4941"
"2016-04-27","4941","4994","4896","4929","3110000","4929"
"2016-04-28","4998","4998","4797","4864","5471700","4864"
"2016-05-02","4934","4939","4834","4893","5084000","4893"
"2016-05-06","4950","4967","4852","4908","3801600","4908"
"2016-05-09","4901","4916","4865","4891","2628500","4891"
"2016-05-10","4859","5049","4858","5033","3813000","5033"
"2016-05-11","5065","5180","5060","5131","4157200","5131"
"2016-05-12","5046","5127","4986","5113","3291800","5113"
"2016-05-13","5100","5122","4970","4992","3135000","4992"
"2016-05-16","4990","5143","4989","5032","3580300","5032"
"2016-05-17","5032","5040","4823","4880","5491600","4880"
"2016-05-18","4810","4821","4738","4759","6163700","4759"
"2016-05-19","4759","4771","4705","4760","4490300","4760"
"2016-05-20","4795","4829","4752","4800","3498400","4800"
"2016-05-23","4783","4812","4714","4775","2223200","4775"
"2016-05-24","4753","4792","4748","4769","2476100","4769"
"2016-05-25","4880","4928","4863","4918","3880900","4918"
"2016-05-26","4960","4963","4805","4810","2866200","4810"
"2016-05-27","4837","4868","4813","4815","1904000","4815"
"2016-05-30","4841","4860","4772","4846","1781000","4846"
"2016-05-31","4821","4869","4776","4855","2615900","4855"
"2016-06-01","4850","4857","4781","4805","2967900","4805"
"2016-06-02","4780","4817","4675","4680","3413800","4680"
"2016-06-03","4681","4719","4662","4707","2355800","4707"
"2016-06-06","4651","4751","4626","4741","3241200","4741"
"2016-06-07","4748","4778","4709","4765","2960400","4765"
"2016-06-08","4791","4802","4743","4802","2921200","4802"
"2016-06-09","4792","4811","4731","4752","2432300","4752"
"2016-06-10","4709","4731","4663","4719","4574600","4719"
"2016-06-13","4625","4643","4520","4529","3604700","4529"
"2016-06-14","4540","4630","4494","4555","4678900","4555"
"2016-06-15","4555","4580","4529","4537","4251800","4537"
